,KS,FDR,KS rank,FDR rank,Average rank
dob-homephone_lag1_lag3_avg,0.009959952800653888,0.0420511927563991,36.0,41.0,38.5
name-dob-homephone_lag1_lag3_avg,0.009907350602977032,0.04196413024551628,35.0,40.0,37.5
ssn-addr_lag1_lag3_avg,0.009898963595540735,0.041790005223750655,34.0,36.0,35.0
ssn-zip5_lag1_lag3_avg,0.009888753132368599,0.041790005223750655,33.0,36.0,34.5
name-homephone_lag1_lag3_avg,0.009878269095276802,0.041790005223750655,32.0,36.0,34.0
name-dob-addr-homephone_lag1_lag3_avg,0.009749817583866123,0.041790005223750655,31.0,36.0,33.5
dob-addr-homephone_lag1_lag3_avg,0.009748541275969606,0.041790005223750655,30.0,36.0,33.0
name-addr-homephone_lag1_lag3_avg,0.009729670231441513,0.04161588020198503,29.0,32.5,30.75
ssn-homephone_lag1_lag3_avg,0.009709249305097242,0.04161588020198503,28.0,32.5,30.25
random,0.00949319457984149,0.030733066341633294,27.0,1.0,14.0
dob-homephone_lag1_count,0.0057910711797490855,0.03848162981020373,26.0,30.0,28.0
ssn-zip5_lag1_count,0.005742845053601231,0.038220442277555285,25.0,22.5,23.75
ssn-address_lag1_count,0.005741568745704639,0.038220442277555285,24.0,22.5,23.25
name-addr_lag1_count,0.005732634590429053,0.038220442277555285,23.0,22.5,22.75
ssn-homephone_lag1_count,0.005725979477026799,0.0383075047884381,22.0,26.5,24.25
name-homephone_lag1_count,0.005720874245440655,0.0383075047884381,21.0,26.5,23.75
dob-addr_lag1_count,0.005700179745176781,0.03839456729932091,20.0,29.0,24.5
ssn-addr_lag1_count,0.005660887774304402,0.03813337976667247,19.0,19.0,19.0
name-dob-homephone_lag1_count,0.005650130163292966,0.0383075047884381,18.0,26.5,22.25
name-dob-addr_lag1_count,0.005622051389569616,0.0383075047884381,17.0,26.5,21.75
name-addr-homephone_lag1_count,0.00555951230264029,0.03813337976667247,16.0,19.0,17.5
name-dob-addr-homephone_lag1_count,0.005483662988906457,0.038220442277555285,15.0,22.5,18.75
dob-addr-homephone_lag1_count,0.005479834065216904,0.03813337976667247,14.0,19.0,16.5
dob-homephone_lag0_count,0.001985937309351815,0.034912066864008356,13.0,15.0,14.0
ssn-address_lag0_count,0.0018580329457804634,0.034912066864008356,12.0,15.0,13.5
ssn-zip5_lag0_count,0.0018567566378838718,0.034912066864008356,11.0,15.0,13.0
name-addr_lag0_count,0.0018503750984013578,0.034912066864008356,10.0,15.0,12.5
dob-addr-homephone_lag0_count,0.0018258516744479314,0.03482500435312554,8.5,8.0,8.25
name-dob-addr-homephone_lag0_count,0.0018258516744479314,0.03482500435312554,8.5,8.0,8.25
name-dob-homephone_lag0_count,0.001820746442861787,0.03482500435312554,7.0,8.0,7.5
name-dob-addr_lag0_count,0.0018130885954826814,0.03473794184224273,6.0,2.5,4.25
dob-addr_lag0_count,0.0018118122875862008,0.03482500435312554,5.0,8.0,6.5
ssn-homephone_lag0_count,0.001792667669138437,0.03473794184224273,4.0,2.5,3.25
name-addr-homephone_lag0_count,0.0017913913612419563,0.03482500435312554,3.0,8.0,5.5
name-homephone_lag0_count,0.0017824572059663701,0.03482500435312554,2.0,8.0,5.0
ssn-addr_lag0_count,0.001773523050690673,0.03482500435312554,1.0,8.0,4.5
